configuration,item,qty,unit_price_usd_low,unit_price_usd_high,extended_usd_low,extended_usd_high,pricing_basis_2026_08_31,assembly
Primer passive target,Tang Primer 20K core module,1,24,57,24,57,"AliExpress price archive and marketplace single-unit listings; shipping/tax excluded",socketed
Primer passive target,204-pin DDR3 SO-DIMM socket,1,3,8,3,8,"Distributor/marketplace planning band; exact latch height not selected","factory SMT or preassembled adapter; not direct universal-board hand solder"
Primer passive target,SN74LVC16245A,5,1.44,2.09,7.20,10.45,"DigiKey qty-1 active TI TVSOP/SSOP listings",factory preferred; SSOP hand possible
Primer passive target,SN74LVC07A,1,0.3,1.0,0.3,1.0,"Distributor planning band",hand or factory
Primer passive target,"power protection connectors passives",1,8,20,8,20,"PTC reverse-block/select decoupling headers; circuit not yet selected",hand possible
Primer passive target,parts subtotal,1,42.5,96.5,42.5,96.5,"PCB assembly shipping tax and C-bus edge hardware excluded",mixed
Primer busmaster-ready,additional SN74LVC16245A,1,1.44,2.09,1.44,2.09,"One fitted transceiver over passive target",factory preferred
Primer busmaster-ready,optional second SN74LVC07A,1,0.3,1.0,0.3,1.0,"DNP unless the selected generation-specific open-drain set exceeds six channels",hand or factory
Mega passive target,Tang Mega 138K non-Pro SOM,1,65,150,65,150,"Variant-sensitive marketplace band; confirm SOM-only and B/C device before order",socketed after factory assembly
Mega passive target,DF40 3.0mm 100-position receptacle,2,2.94,3.51,5.88,7.02,"Mouser qty-1 listings; (51)/(58) plating/packaging and availability differ",factory SMT only
Mega passive target,DF40 3.0mm 80-position receptacle,1,3,5,3,5,"Planning band pending exact suffix",factory SMT only
Mega passive target,SN74LVC16245A,5,1.44,2.09,7.20,10.45,"DigiKey qty-1 active TI listings",factory SMT
Mega passive target,SN74LVC07A,1,0.3,1.0,0.3,1.0,"Distributor planning band",factory SMT
Mega passive target,"power protection connectors passives",1,10,25,10,25,"Higher current design allowance; circuit not yet selected",factory SMT
Mega passive target,parts subtotal,1,91.4,198.5,91.4,198.5,"PCB assembly shipping tax and C-bus edge hardware excluded",factory SMT
