candidate,conservative_cbus_gpio,profile,total_required,margin,result,reason
Tang Nano 20K direct,34,io8_sync_min,35,-1,reject,"Independent IORDY and IRQ OE controls make even the minimum profile exceed exposed GPIO"
Tang Nano 20K direct,34,io16_sync_min,44,-10,reject,"Insufficient exposed GPIO"
Tang Nano 20K direct,34,mem8_20bit_min,40,-6,reject,"Insufficient exposed GPIO"
Tang Nano 20K direct,34,target20_full,51,-17,reject,"Insufficient exposed GPIO"
Tang Nano 20K direct,34,target24_full,55,-21,reject,"Insufficient exposed GPIO"
Tang Nano 20K direct,34,target24_dma,60,-26,reject,"Insufficient exposed GPIO"
Tang Nano 20K direct,34,target24_busmaster,64,-30,reject,"Insufficient exposed GPIO"
Tang Nano 20K direct,34,target24_dma_busmaster,69,-35,reject,"Insufficient exposed GPIO"
Tang Nano 20K plus external CPLD,NA,all profiles,NA,NA,conditional,"CPLD becomes the C-bus controller; requires a new local protocol and a separately selected 5 V front end"
Tang Primer 20K SO-DIMM,86,io8_sync_min,35,51,pass,"Conservative count excludes JTAG reset configuration PLL and eight 1.5 V input-only pins"
Tang Primer 20K SO-DIMM,86,io16_sync_min,44,42,pass,"Conservative count"
Tang Primer 20K SO-DIMM,86,mem8_20bit_min,40,46,pass,"Conservative count"
Tang Primer 20K SO-DIMM,86,target20_full,51,35,pass,"Conservative count"
Tang Primer 20K SO-DIMM,86,target24_full,55,31,pass,"Conservative count"
Tang Primer 20K SO-DIMM,86,target24_dma,60,26,pass,"Conservative count"
Tang Primer 20K SO-DIMM,86,target24_busmaster,64,22,pass,"Conservative count"
Tang Primer 20K SO-DIMM,86,target24_dma_busmaster,69,17,pass,"Committed physical map uses 69 endpoints and leaves 17 conservative GPIO"
Tang Mega 138K BTB,144,io8_sync_min,35,109,pass,"Uses only confirmed 3.3 V GPIO in banks 2/3/4"
Tang Mega 138K BTB,144,io16_sync_min,44,100,pass,"Conservative count"
Tang Mega 138K BTB,144,mem8_20bit_min,40,104,pass,"Conservative count"
Tang Mega 138K BTB,144,target20_full,51,93,pass,"Conservative count"
Tang Mega 138K BTB,144,target24_full,55,89,pass,"Conservative count"
Tang Mega 138K BTB,144,target24_dma,60,84,pass,"Conservative count"
Tang Mega 138K BTB,144,target24_busmaster,64,80,pass,"Conservative count"
Tang Mega 138K BTB,144,target24_dma_busmaster,69,75,pass,"Committed physical map uses 69 endpoints and leaves 75 conservative GPIO"
